who is good footballer?,Messi,Lionel,Cristiano,Ronaldo,easy
who is bad footballer?,Haaland, Mbappe, Griezman, Michael Clarke, easy
who is good footballer?,Messi,Lionel,Cristiano,Ronaldo,easy
who is bad footballer?,Haaland, Mbappe, Griezman, Michael Clarke, easy
who is good footballer?,Messi,Lionel,Cristiano,Ronaldo,easy
who is bad footballer?,Haaland, Mbappe, Griezman, Michael Clarke, easy
who is good footballer?,Messi,Lionel,Cristiano,Ronaldo,easy
who is bad footballer?,Haaland, Mbappe, Griezman, Michael Clarke, easy
who is good footballer?,Messi,Lionel,Cristiano,Ronaldo,easy
who is the greatest man ever. hello how do you do. this is random questions i am using to check for longer questions what can i do hello my man hey waassup.,Haaland, Mbappe, Griezman, Michael Clarke, easy
